"Ensembl_gene_identifier","Symbol","type_of_gene"
"ENSG00000172818","OVOL1","protein-coding"
"ENSG00000155463","OXA1L","protein-coding"
"ENSG00000083720","OXCT1","protein-coding"
"ENSG00000101405","OXT","protein-coding"
"ENSG00000180914","OXTR","protein-coding"
"ENSG00000108405","P2RX1","protein-coding"
"ENSG00000109991","P2RX3","protein-coding"
"ENSG00000135124","P2RX4","protein-coding"
"ENSG00000083454","P2RX5","protein-coding"
"ENSG00000089041","P2RX7","protein-coding"
"ENSG00000169860","P2RY1","protein-coding"
"ENSG00000175591","P2RY2","protein-coding"
"ENSG00000186912","P2RY4","protein-coding"
"ENSG00000171631","P2RY6","protein-coding"
"ENSG00000244165","P2RY11","protein-coding"
"ENSG00000122884","P4HA1","protein-coding"
"ENSG00000185624","P4HB","protein-coding"
"ENSG00000170515","PA2G4","protein-coding"
"ENSG00000089220","PEBP1","protein-coding"
"ENSG00000151846","PABPC3","protein-coding"
"ENSG00000140564","FURIN","protein-coding"
"ENSG00000140479","PCSK6","protein-coding"
"ENSG00000122133","PAEP","protein-coding"
"ENSG00000007168","PAFAH1B1","protein-coding"
"ENSG00000168092","PAFAH1B2","protein-coding"
"ENSG00000079462","PAFAH1B3","protein-coding"
"ENSG00000158006","PAFAH2","protein-coding"
"ENSG00000117450","PRDX1","protein-coding"
"ENSG00000171759","PAH","protein-coding"
"ENSG00000106366","SERPINE1","protein-coding"
"ENSG00000197632","SERPINB2","protein-coding"
"ENSG00000149269","PAK1","protein-coding"
"ENSG00000180370","PAK2","protein-coding"
"ENSG00000077264","PAK3","protein-coding"
"ENSG00000099864","PALM","protein-coding"
"ENSG00000145730","PAM","protein-coding"
"ENSG00000113805","CNTN3","protein-coding"
"ENSG00000172016","REG3A","protein-coding"
"ENSG00000182752","PAPPA","protein-coding"
"ENSG00000185345","PRKN","protein-coding"
"ENSG00000140694","PARN","protein-coding"
"ENSG00000177425","PAWR","protein-coding"
"ENSG00000125813","PAX1","protein-coding"
"ENSG00000075891","PAX2","protein-coding"
"ENSG00000135903","PAX3","protein-coding"
"ENSG00000106331","PAX4","protein-coding"
"ENSG00000196092","PAX5","protein-coding"
"ENSG00000007372","PAX6","protein-coding"
"ENSG00000009709","PAX7","protein-coding"
"ENSG00000136940","PDCL","protein-coding"
"ENSG00000198807","PAX9","protein-coding"
"ENSG00000185630","PBX1","protein-coding"
"ENSG00000204304","PBX2","protein-coding"
"ENSG00000167081","PBX3","protein-coding"
"ENSG00000173599","PC","protein-coding"
"ENSG00000166228","PCBD1","protein-coding"
"ENSG00000169564","PCBP1","protein-coding"
"ENSG00000197111","PCBP2","protein-coding"
"ENSG00000175198","PCCA","protein-coding"
"ENSG00000114054","PCCB","protein-coding"
"ENSG00000156453","PCDH1","protein-coding"
"ENSG00000240184","PCDHGC3","protein-coding"
"ENSG00000169851","PCDH7","protein-coding"
"ENSG00000136099","PCDH8","protein-coding"
"ENSG00000184226","PCDH9","protein-coding"
"ENSG00000188488","SERPINA5","protein-coding"
"ENSG00000124253","PCK1","protein-coding"
"ENSG00000100889","PCK2","protein-coding"
"ENSG00000078674","PCM1","protein-coding"
"ENSG00000120265","PCMT1","protein-coding"
"ENSG00000132646","PCNA","protein-coding"
"ENSG00000160299","PCNT","protein-coding"
"ENSG00000106333","PCOLCE","protein-coding"
"ENSG00000131165","CHMP1A","protein-coding"
"ENSG00000183036","PCP4","protein-coding"
"ENSG00000175426","PCSK1","protein-coding"
"ENSG00000099139","PCSK5","protein-coding"
"ENSG00000125851","PCSK2","protein-coding"
"ENSG00000102225","CDK16","protein-coding"
"ENSG00000059758","CDK17","protein-coding"
"ENSG00000117266","CDK18","protein-coding"
"ENSG00000161217","PCYT1A","protein-coding"
"ENSG00000116703","PDC","protein-coding"
"ENSG00000188389","PDCD1","protein-coding"
"ENSG00000071994","PDCD2","protein-coding"
"ENSG00000115252","PDE1A","protein-coding"
"ENSG00000154678","PDE1C","protein-coding"
"ENSG00000186642","PDE2A","protein-coding"
"ENSG00000172572","PDE3A","protein-coding"
"ENSG00000152270","PDE3B","protein-coding"
"ENSG00000065989","PDE4A","protein-coding"
"ENSG00000184588","PDE4B","protein-coding"
"ENSG00000105650","PDE4C","protein-coding"
"ENSG00000113448","PDE4D","protein-coding"
"ENSG00000132915","PDE6A","protein-coding"
"ENSG00000095464","PDE6C","protein-coding"
"ENSG00000156973","PDE6D","protein-coding"
"ENSG00000185527","PDE6G","protein-coding"
"ENSG00000139053","PDE6H","protein-coding"
"ENSG00000205268","PDE7A","protein-coding"
"ENSG00000073417","PDE8A","protein-coding"
"ENSG00000160191","PDE9A","protein-coding"
"ENSG00000123360","PDE1B","protein-coding"
"ENSG00000197461","PDGFA","protein-coding"
"ENSG00000100311","PDGFB","protein-coding"
"ENSG00000134853","PDGFRA","protein-coding"
"ENSG00000104213","PDGFRL","protein-coding"
"ENSG00000133256","PDE6B","protein-coding"
"ENSG00000113721","PDGFRB","protein-coding"
"ENSG00000131828","PDHA1","protein-coding"
"ENSG00000163114","PDHA2","protein-coding"
"ENSG00000168291","PDHB","protein-coding"
"ENSG00000152256","PDK1","protein-coding"
"ENSG00000005882","PDK2","protein-coding"
"ENSG00000067992","PDK3","protein-coding"
"ENSG00000004799","PDK4","protein-coding"
"ENSG00000197594","ENPP1","protein-coding"
"ENSG00000136960","ENPP2","protein-coding"
"ENSG00000154269","ENPP3","protein-coding"
"ENSG00000140992","PDPK1","protein-coding"
"ENSG00000091137","SLC26A4","protein-coding"
"ENSG00000101327","PDYN","protein-coding"
"ENSG00000174827","PDZK1","protein-coding"
"ENSG00000261371","PECAM1","protein-coding"
"ENSG00000132386","SERPINF1","protein-coding"
"ENSG00000198300","PEG3","protein-coding"
"ENSG00000181195","PENK","protein-coding"
"ENSG00000124299","PEPD","protein-coding"
"ENSG00000179094","PER1","protein-coding"
"ENSG00000059691","GATB","protein-coding"
"ENSG00000127980","PEX1","protein-coding"
"ENSG00000124587","PEX6","protein-coding"
"ENSG00000112357","PEX7","protein-coding"
"ENSG00000157911","PEX10","protein-coding"
"ENSG00000108733","PEX12","protein-coding"
"ENSG00000162928","PEX13","protein-coding"
"ENSG00000142655","PEX14","protein-coding"
"ENSG00000163737","PF4","protein-coding"
"ENSG00000109272","PF4V1","protein-coding"
"ENSG00000178921","PFAS","protein-coding"
"ENSG00000126759","CFP","protein-coding"
"ENSG00000113068","PFDN1","protein-coding"
"ENSG00000143256","PFDN2","protein-coding"
"ENSG00000101132","PFDN4","protein-coding"
"ENSG00000123349","PFDN5","protein-coding"
"ENSG00000081923","ATP8B1","protein-coding"
"ENSG00000158571","PFKFB1","protein-coding"
"ENSG00000123836","PFKFB2","protein-coding"
"ENSG00000170525","PFKFB3","protein-coding"
"ENSG00000114268","PFKFB4","protein-coding"
"ENSG00000141959","PFKL","protein-coding"
"ENSG00000205221","VIT","protein-coding"
"ENSG00000152556","PFKM","protein-coding"
"ENSG00000067057","PFKP","protein-coding"
"ENSG00000108518","PFN1","protein-coding"
"ENSG00000070087","PFN2","protein-coding"
"ENSG00000058091","CDK14","protein-coding"
"ENSG00000256713","PGA5","protein-coding"
"ENSG00000171314","PGAM1","protein-coding"
"ENSG00000164708","PGAM2","protein-coding"
"ENSG00000096088","PGC","protein-coding"
"ENSG00000142657","PGD","protein-coding"
"ENSG00000119630","PGF","protein-coding"
"ENSG00000164219","PGGT1B","protein-coding"
"ENSG00000102144","PGK1","protein-coding"
"ENSG00000170950","PGK2","protein-coding"
"ENSG00000079739","PGM1","protein-coding"
"ENSG00000013375","PGM3","protein-coding"
"ENSG00000154330","PGM5","protein-coding"
"ENSG00000082175","PGR","protein-coding"
"ENSG00000085563","ABCB1","protein-coding"
"ENSG00000005471","ABCB4","protein-coding"
"ENSG00000167085","PHB","protein-coding"
"ENSG00000075415","SLC25A3","protein-coding"
"ENSG00000102174","PHEX","protein-coding"
"ENSG00000112511","PHF1","protein-coding"
"ENSG00000197724","PHF2","protein-coding"
"ENSG00000067177","PHKA1","protein-coding"
"ENSG00000044446","PHKA2","protein-coding"
"ENSG00000102893","PHKB","protein-coding"
"ENSG00000164776","PHKG1","protein-coding"
"ENSG00000156873","PHKG2","protein-coding"
"ENSG00000107537","PHYH","protein-coding"
"ENSG00000197249","SERPINA1","protein-coding"
"ENSG00000124102","PI3","protein-coding"
"ENSG00000100665","SERPINA4","protein-coding"
"ENSG00000206075","SERPINB5","protein-coding"
"ENSG00000124570","SERPINB6","protein-coding"
"ENSG00000135919","SERPINE2","protein-coding"
"ENSG00000166401","SERPINB8","protein-coding"
"ENSG00000170542","SERPINB9","protein-coding"
"ENSG00000242550","SERPINB10","protein-coding"
"ENSG00000163536","SERPINI1","protein-coding"
"ENSG00000197641","SERPINB13","protein-coding"
"ENSG00000114204","SERPINI2","protein-coding"
"ENSG00000165195","PIGA","protein-coding"
"ENSG00000135845","PIGC","protein-coding"
"ENSG00000151665","PIGF","protein-coding"
"ENSG00000100564","PIGH","protein-coding"
"ENSG00000162896","PIGR","protein-coding"
"ENSG00000011405","PIK3C2A","protein-coding"
"ENSG00000133056","PIK3C2B","protein-coding"
"ENSG00000139144","PIK3C2G","protein-coding"
"ENSG00000078142","PIK3C3","protein-coding"
"ENSG00000121879","PIK3CA","protein-coding"
"ENSG00000051382","PIK3CB","protein-coding"
"ENSG00000137193","PIM1","protein-coding"
"ENSG00000171608","PIK3CD","protein-coding"
"ENSG00000105851","PIK3CG","protein-coding"
"ENSG00000145675","PIK3R1","protein-coding"
"ENSG00000105647","PIK3R2","protein-coding"
"ENSG00000241973","PI4KA","protein-coding"
"ENSG00000143393","PI4KB","protein-coding"
"ENSG00000127445","PIN1","protein-coding"
"ENSG00000229359","PIN1P1","pseudo"
"ENSG00000102309","PIN4","protein-coding"
"ENSG00000159763","PIP","protein-coding"
"ENSG00000150867","PIP4K2A","protein-coding"
"ENSG00000174238","PITPNA","protein-coding"
"ENSG00000069011","PITX1","protein-coding"
"ENSG00000164093","PITX2","protein-coding"
"ENSG00000107859","PITX3","protein-coding"
"ENSG00000008710","PKD1","protein-coding"
"ENSG00000118762","PKD2","protein-coding"
"ENSG00000143627","PKLR","protein-coding"
"ENSG00000170927","PKHD1","protein-coding"
"ENSG00000067225","PKM","protein-coding"
"ENSG00000160199","PKNOX1","protein-coding"
"ENSG00000081277","PKP1","protein-coding"
"ENSG00000057294","PKP2","protein-coding"
"ENSG00000170890","PLA2G1B","protein-coding"
"ENSG00000188257","PLA2G2A","protein-coding"
"ENSG00000116711","PLA2G4A","protein-coding"
"ENSG00000127472","PLA2G5","protein-coding"
"ENSG00000181690","PLAG1","protein-coding"
"ENSG00000118495","PLAGL1","protein-coding"
"ENSG00000126003","PLAGL2","protein-coding"
"ENSG00000104368","PLAT","protein-coding"
"ENSG00000122861","PLAU","protein-coding"
"ENSG00000011422","PLAUR","protein-coding"
"ENSG00000137841","PLCB2","protein-coding"
"ENSG00000149782","PLCB3","protein-coding"
"ENSG00000101333","PLCB4","protein-coding"
"ENSG00000187091","PLCD1","protein-coding"
"ENSG00000115896","PLCL1","protein-coding"
"ENSG00000124181","PLCG1","protein-coding"
"ENSG00000197943","PLCG2","protein-coding"
"ENSG00000075651","PLD1","protein-coding"
"ENSG00000129219","PLD2","protein-coding"
"ENSG00000178209","PLEC","protein-coding"
"ENSG00000122194","PLG","protein-coding"
"ENSG00000115956","PLEK","protein-coding"
"ENSG00000125551","PLGLB2","protein-coding"
"ENSG00000183281","PLGLB1","protein-coding"
"ENSG00000167711","SERPINF2","protein-coding"
"ENSG00000166819","PLIN1","protein-coding"
"ENSG00000166851","PLK1","protein-coding"
"ENSG00000266964","FXYD1","protein-coding"
"ENSG00000089356","FXYD3","protein-coding"
"ENSG00000198523","PLN","protein-coding"
"ENSG00000083444","PLOD1","protein-coding"
"ENSG00000152952","PLOD2","protein-coding"
"ENSG00000123560","PLP1","protein-coding"
"ENSG00000102007","PLP2","protein-coding"
"ENSG00000171566","PLRG1","protein-coding"
"ENSG00000120756","PLS1","protein-coding"
"ENSG00000102024","PLS3","protein-coding"
"ENSG00000188313","PLSCR1","protein-coding"
"ENSG00000100979","PLTP","protein-coding"
"ENSG00000114554","PLXNA1","protein-coding"
"ENSG00000076356","PLXNA2","protein-coding"
"ENSG00000164050","PLXNB1","protein-coding"
"ENSG00000198753","PLXNB3","protein-coding"
"ENSG00000141682","PMAIP1","protein-coding"
"ENSG00000183395","PMCH","protein-coding"
"ENSG00000168081","PNOC","protein-coding"
"ENSG00000168967","PMCHL1","pseudo"
"ENSG00000169040","PMCHL2","pseudo"
"ENSG00000140464","PML","protein-coding"
"ENSG00000100417","PMM1","protein-coding"
"ENSG00000140650","PMM2","protein-coding"
"ENSG00000147588","PMP2","protein-coding"
"ENSG00000109099","PMP22","protein-coding"
"ENSG00000064933","PMS1","protein-coding"
"ENSG00000067601","PMS2P4","pseudo"
"ENSG00000127957","PMS2P3","pseudo"
"ENSG00000123737","EXOSC9","protein-coding"
"ENSG00000171824","EXOSC10","protein-coding"
"ENSG00000122512","PMS2","protein-coding"
"ENSG00000116132","PRRX1","protein-coding"
"ENSG00000175535","PNLIP","protein-coding"
"ENSG00000187021","PNLIPRP1","protein-coding"
"ENSG00000266200","PNLIPRP2","protein-coding"
"ENSG00000141744","PNMT","protein-coding"
"ENSG00000100941","PNN","protein-coding"
"ENSG00000122042","UBL3","protein-coding"
"ENSG00000184702","SEPTIN5","protein-coding"
"ENSG00000108387","SEPTIN4","protein-coding"
"ENSG00000128567","PODXL","protein-coding"
"ENSG00000101868","POLA1","protein-coding"
"ENSG00000070501","POLB","protein-coding"
"ENSG00000062822","POLD1","protein-coding"
"ENSG00000106628","POLD2","protein-coding"
"ENSG00000177084","POLE","protein-coding"
"ENSG00000100479","POLE2","protein-coding"
"ENSG00000140521","POLG","protein-coding"
"ENSG00000170734","POLH","protein-coding"
"ENSG00000047315","POLR2B","protein-coding"
"ENSG00000102978","POLR2C","protein-coding"
"ENSG00000144231","POLR2D","protein-coding"
"ENSG00000099817","POLR2E","protein-coding"
"ENSG00000100142","POLR2F","protein-coding"
"ENSG00000168002","POLR2G","protein-coding"
"ENSG00000163882","POLR2H","protein-coding"
"ENSG00000105258","POLR2I","protein-coding"
"ENSG00000005075","POLR2J","protein-coding"
"ENSG00000147669","POLR2K","protein-coding"
"ENSG00000177700","POLR2L","protein-coding"
"ENSG00000099821","POLRMT","protein-coding"
"ENSG00000115138","POMC","protein-coding"
"ENSG00000005421","PON1","protein-coding"
"ENSG00000105854","PON2","protein-coding"
"ENSG00000105852","PON3","protein-coding"
"ENSG00000127948","POR","protein-coding"
"ENSG00000064835","POU1F1","protein-coding"
"ENSG00000110777","POU2AF1","protein-coding"
"ENSG00000143190","POU2F1","protein-coding"
"ENSG00000028277","POU2F2","protein-coding"
"ENSG00000185668","POU3F1","protein-coding"
"ENSG00000184486","POU3F2","protein-coding"
"ENSG00000198914","POU3F3","protein-coding"
"ENSG00000196767","POU3F4","protein-coding"
"ENSG00000152192","POU4F1","protein-coding"
"ENSG00000151615","POU4F2","protein-coding"
"ENSG00000091010","POU4F3","protein-coding"
"ENSG00000204531","POU5F1","protein-coding"
"ENSG00000212993","POU5F1B","protein-coding"
"ENSG00000184271","POU6F1","protein-coding"
"ENSG00000180817","PPA1","protein-coding"
"ENSG00000186951","PPARA","protein-coding"
"ENSG00000112033","PPARD","protein-coding"
"ENSG00000132170","PPARG","protein-coding"
"ENSG00000125686","MED1","protein-coding"
"ENSG00000156194","PPEF2","protein-coding"
"ENSG00000128059","PPAT","protein-coding"
"ENSG00000163736","PPBP","protein-coding"
"ENSG00000086717","PPEF1","protein-coding"
"ENSG00000064601","CTSA","protein-coding"
"ENSG00000196262","PPIA","protein-coding"
"ENSG00000166794","PPIB","protein-coding"
"ENSG00000168938","PPIC","protein-coding"
"ENSG00000171497","PPID","protein-coding"
"ENSG00000118898","PPL","protein-coding"
"ENSG00000100614","PPM1A","protein-coding"
"ENSG00000138032","PPM1B","protein-coding"
"ENSG00000115241","PPM1G","protein-coding"
"ENSG00000143224","PPOX","protein-coding"
"ENSG00000172531","PPP1CA","protein-coding"
"ENSG00000213639","PPP1CB","protein-coding"
"ENSG00000186298","PPP1CC","protein-coding"
"ENSG00000135447","PPP1R1A","protein-coding"
"ENSG00000184203","PPP1R2","protein-coding"
"ENSG00000154415","PPP1R3A","protein-coding"
"ENSG00000119938","PPP1R3C","protein-coding"
"ENSG00000132825","PPP1R3D","protein-coding"
"ENSG00000115685","PPP1R7","protein-coding"
"ENSG00000117751","PPP1R8","protein-coding"
"ENSG00000204569","PPP1R10","protein-coding"
"ENSG00000113575","PPP2CA","protein-coding"
"ENSG00000104695","PPP2CB","protein-coding"
"ENSG00000105568","PPP2R1A","protein-coding"
"ENSG00000137713","PPP2R1B","protein-coding"
"ENSG00000221914","PPP2R2A","protein-coding"
"ENSG00000156475","PPP2R2B","protein-coding"
"ENSG00000074211","PPP2R2C","protein-coding"
"ENSG00000073711","PPP2R3A","protein-coding"
"ENSG00000119383","PTPA","protein-coding"
"ENSG00000066027","PPP2R5A","protein-coding"
"ENSG00000068971","PPP2R5B","protein-coding"
"ENSG00000078304","PPP2R5C","protein-coding"
"ENSG00000112640","PPP2R5D","protein-coding"
"ENSG00000154001","PPP2R5E","protein-coding"
"ENSG00000138814","PPP3CA","protein-coding"
"ENSG00000149923","PPP4C","protein-coding"
"ENSG00000107758","PPP3CB","protein-coding"
"ENSG00000120910","PPP3CC","protein-coding"
"ENSG00000221823","PPP3R1","protein-coding"
"ENSG00000188386","PPP3R2","protein-coding"
"ENSG00000011485","PPP5C","protein-coding"
"ENSG00000119414","PPP6C","protein-coding"
"ENSG00000131238","PPT1","protein-coding"
"ENSG00000108849","PPY","protein-coding"
"ENSG00000204174","NPY4R","protein-coding"
"ENSG00000251655","PRB1","protein-coding"
"ENSG00000197870","PRB3","protein-coding"
"ENSG00000230657","PRB4","protein-coding"
"ENSG00000143294","PRCC","protein-coding"
"ENSG00000137509","PRCP","protein-coding"
"ENSG00000188783","PRELP","protein-coding"
"ENSG00000085377","PREP","protein-coding"
"ENSG00000180644","PRF1","protein-coding"
"ENSG00000122862","SRGN","protein-coding"
"ENSG00000186652","PRG2","protein-coding"
"ENSG00000231887","PRH1","protein-coding"
"ENSG00000134551","PRH2","protein-coding"
"ENSG00000198056","PRIM1","protein-coding"
"ENSG00000146143","PRIM2","protein-coding"
"ENSG00000132356","PRKAA1","protein-coding"
"ENSG00000162409","PRKAA2","protein-coding"
"ENSG00000111725","PRKAB1","protein-coding"
"ENSG00000131791","PRKAB2","protein-coding"
"ENSG00000072062","PRKACA","protein-coding"
"ENSG00000142875","PRKACB","protein-coding"
"ENSG00000165059","PRKACG","protein-coding"
"ENSG00000171033","PKIA","protein-coding"
"ENSG00000135549","PKIB","protein-coding"
"ENSG00000181929","PRKAG1","protein-coding"
"ENSG00000108946","PRKAR1A","protein-coding"
"ENSG00000188191","PRKAR1B","protein-coding"
"ENSG00000114302","PRKAR2A","protein-coding"
"ENSG00000005249","PRKAR2B","protein-coding"
"ENSG00000154229","PRKCA","protein-coding"
"ENSG00000166501","PRKCB","protein-coding"
"ENSG00000163932","PRKCD","protein-coding"
"ENSG00000171132","PRKCE","protein-coding"
"ENSG00000126583","PRKCG","protein-coding"
"ENSG00000027075","PRKCH","protein-coding"
"ENSG00000163558","PRKCI","protein-coding"
"ENSG00000123143","PKN1","protein-coding"
"ENSG00000065243","PKN2","protein-coding"
"ENSG00000184304","PRKD1","protein-coding"
"ENSG00000065675","PRKCQ","protein-coding"
"ENSG00000130175","PRKCSH","protein-coding"
"ENSG00000067606","PRKCZ","protein-coding"
"ENSG00000253729","PRKDC","protein-coding"
"ENSG00000185532","PRKG1","protein-coding"
"ENSG00000138669","PRKG2","protein-coding"
"ENSG00000100030","MAPK1","protein-coding"
"ENSG00000102882","MAPK3","protein-coding"
"ENSG00000141639","MAPK4","protein-coding"
"ENSG00000069956","MAPK6","protein-coding"
"ENSG00000166484","MAPK7","protein-coding"
"ENSG00000107643","MAPK8","protein-coding"
"ENSG00000185386","MAPK11","protein-coding"
"ENSG00000050748","MAPK9","protein-coding"
"ENSG00000109339","MAPK10","protein-coding"
"ENSG00000156711","MAPK13","protein-coding"
"ENSG00000169032","MAP2K1","protein-coding"
"ENSG00000126934","MAP2K2","protein-coding"
"ENSG00000034152","MAP2K3","protein-coding"
"ENSG00000137764","MAP2K5","protein-coding"
"ENSG00000108984","MAP2K6","protein-coding"
"ENSG00000076984","MAP2K7","protein-coding"
"ENSG00000055332","EIF2AK2","protein-coding"
"ENSG00000102580","DNAJC3","protein-coding"
"ENSG00000137492","THAP12","protein-coding"
"ENSG00000183943","PRKX","protein-coding"
"ENSG00000099725","PRKY","pseudo"
"ENSG00000172179","PRL","protein-coding"
"ENSG00000113494","PRLR","protein-coding"
"ENSG00000175646","PRM1","protein-coding"
"ENSG00000122304","PRM2","protein-coding"
"ENSG00000171867","PRNP","protein-coding"
"ENSG00000125650","PSPN","protein-coding"
"ENSG00000115718","PROC","protein-coding"
"ENSG00000100033","PRODH","protein-coding"
"ENSG00000175325","PROP1","protein-coding"
"ENSG00000184500","PROS1","protein-coding"
"ENSG00000117707","PROX1","protein-coding"
"ENSG00000135406","PRPH","protein-coding"
"ENSG00000147224","PRPS1","protein-coding"
"ENSG00000101911","PRPS2","protein-coding"
"ENSG00000161542","PRPSAP1","protein-coding"
"ENSG00000141127","PRPSAP2","protein-coding"
"ENSG00000130962","PRRG1","protein-coding"
"ENSG00000126460","PRRG2","protein-coding"
"ENSG00000100600","LGMN","protein-coding"
"ENSG00000204983","PRSS1","protein-coding"
"ENSG00000275896","PRSS2","protein-coding"
"ENSG00000010438","PRSS3","protein-coding"
"ENSG00000127241","MASP1","protein-coding"
"ENSG00000189056","RELN","protein-coding"
"ENSG00000169035","KLK7","protein-coding"
"ENSG00000154646","TMPRSS15","protein-coding"
"ENSG00000052344","PRSS8","protein-coding"
"ENSG00000167755","KLK6","protein-coding"
"ENSG00000166033","HTRA1","protein-coding"
"ENSG00000129451","KLK10","protein-coding"
"ENSG00000196415","PRTN3","protein-coding"
"ENSG00000197746","PSAP","protein-coding"
"ENSG00000059915","PSD","protein-coding"
"ENSG00000080815","PSEN1","protein-coding"
"ENSG00000143801","PSEN2","protein-coding"
"ENSG00000231924","PSG1","protein-coding"
"ENSG00000242221","PSG2","protein-coding"
"ENSG00000221826","PSG3","protein-coding"
"ENSG00000243137","PSG4","protein-coding"
"ENSG00000204941","PSG5","protein-coding"
"ENSG00000170848","PSG6","protein-coding"
"ENSG00000221878","PSG7","protein-coding"
"ENSG00000183668","PSG9","protein-coding"
"ENSG00000243130","PSG11","protein-coding"
"ENSG00000159792","PSKH1","protein-coding"
"ENSG00000129084","PSMA1","protein-coding"
"ENSG00000106588","PSMA2","protein-coding"
"ENSG00000100567","PSMA3","protein-coding"
"ENSG00000041357","PSMA4","protein-coding"
"ENSG00000143106","PSMA5","protein-coding"
"ENSG00000100902","PSMA6","protein-coding"
"ENSG00000101182","PSMA7","protein-coding"
"ENSG00000008018","PSMB1","protein-coding"
"ENSG00000126067","PSMB2","protein-coding"
"ENSG00000277791","PSMB3","protein-coding"
"ENSG00000159377","PSMB4","protein-coding"
"ENSG00000100804","PSMB5","protein-coding"
"ENSG00000142507","PSMB6","protein-coding"
"ENSG00000136930","PSMB7","protein-coding"
"ENSG00000204264","PSMB8","protein-coding"
"ENSG00000131096","PYY","protein-coding"
"ENSG00000240065","PSMB9","protein-coding"
"ENSG00000205220","PSMB10","protein-coding"
"ENSG00000100764","PSMC1","protein-coding"
"ENSG00000161057","PSMC2","protein-coding"
"ENSG00000165916","PSMC3","protein-coding"
"ENSG00000013275","PSMC4","protein-coding"
"ENSG00000087191","PSMC5","protein-coding"
"ENSG00000100519","PSMC6","protein-coding"
"ENSG00000173692","PSMD1","protein-coding"
"ENSG00000175166","PSMD2","protein-coding"
"ENSG00000108344","PSMD3","protein-coding"
"ENSG00000159352","PSMD4","protein-coding"
"ENSG00000095261","PSMD5","protein-coding"
"ENSG00000103035","PSMD7","protein-coding"
"ENSG00000099341","PSMD8","protein-coding"
"ENSG00000110801","PSMD9","protein-coding"
"ENSG00000101843","PSMD10","protein-coding"
"ENSG00000108671","PSMD11","protein-coding"
"ENSG00000197170","PSMD12","protein-coding"
"ENSG00000185627","PSMD13","protein-coding"
"ENSG00000092010","PSME1","protein-coding"
"ENSG00000100911","PSME2","protein-coding"
"ENSG00000146733","PSPH","protein-coding"
"ENSG00000169403","PTAFR","protein-coding"
"ENSG00000011304","PTBP1","protein-coding"
"ENSG00000257138","TAS2R38","protein-coding"
"ENSG00000185920","PTCH1","protein-coding"
"ENSG00000171862","PTEN","protein-coding"
"ENSG00000168229","PTGDR","protein-coding"
"ENSG00000107317","PTGDS","protein-coding"
"ENSG00000160951","PTGER1","protein-coding"
"ENSG00000125384","PTGER2","protein-coding"
"ENSG00000050628","PTGER3","protein-coding"
"ENSG00000171522","PTGER4","protein-coding"
"ENSG00000122420","PTGFR","protein-coding"
"ENSG00000134247","PTGFRN","protein-coding"
"ENSG00000160013","PTGIR","protein-coding"
"ENSG00000124212","PTGIS","protein-coding"
"ENSG00000152266","PTH","protein-coding"
"ENSG00000095303","PTGS1","protein-coding"
"ENSG00000073756","PTGS2","protein-coding"
"ENSG00000087494","PTHLH","protein-coding"
"ENSG00000160801","PTH1R","protein-coding"
"ENSG00000144407","PTH2R","protein-coding"
"ENSG00000169398","PTK2","protein-coding"
"ENSG00000101213","PTK6","protein-coding"
"ENSG00000112655","PTK7","protein-coding"
"ENSG00000151239","TWF1","protein-coding"
"ENSG00000187514","PTMA","protein-coding"
"ENSG00000159335","PTMS","protein-coding"
"ENSG00000105894","PTN","protein-coding"
"ENSG00000116260","QSOX1","protein-coding"
"ENSG00000196396","PTPN1","protein-coding"
"ENSG00000175354","PTPN2","protein-coding"
"ENSG00000070159","PTPN3","protein-coding"
"ENSG00000088179","PTPN4","protein-coding"
"ENSG00000111679","PTPN6","protein-coding"
"ENSG00000143851","PTPN7","protein-coding"
"ENSG00000169410","PTPN9","protein-coding"
"ENSG00000179295","PTPN11","protein-coding"
"ENSG00000127947","PTPN12","protein-coding"
"ENSG00000163629","PTPN13","protein-coding"
"ENSG00000152104","PTPN14","protein-coding"
"ENSG00000132670","PTPRA","protein-coding"
"ENSG00000127329","PTPRB","protein-coding"
"ENSG00000081237","PTPRC","protein-coding"
"ENSG00000153707","PTPRD","protein-coding"
"ENSG00000213402","PTPRCAP","protein-coding"
"ENSG00000132334","PTPRE","protein-coding"
"ENSG00000142949","PTPRF","protein-coding"
"ENSG00000144724","PTPRG","protein-coding"
"ENSG00000080031","PTPRH","protein-coding"
"ENSG00000149177","PTPRJ","protein-coding"
"ENSG00000152894","PTPRK","protein-coding"
"ENSG00000173482","PTPRM","protein-coding"
"ENSG00000054356","PTPRN","protein-coding"
"ENSG00000155093","PTPRN2","protein-coding"
"ENSG00000151490","PTPRO","protein-coding"
"ENSG00000153233","PTPRR","protein-coding"
"ENSG00000105426","PTPRS","protein-coding"
"ENSG00000106278","PTPRZ1","protein-coding"
"ENSG00000150787","PTS","protein-coding"
"ENSG00000163661","PTX3","protein-coding"
"ENSG00000113456","RAD1","protein-coding"
"ENSG00000185129","PURA","protein-coding"
"ENSG00000146676","PURB","protein-coding"
"ENSG00000100362","PVALB","protein-coding"
"ENSG00000073008","PVR","protein-coding"
"ENSG00000110400","NECTIN1","protein-coding"
"ENSG00000130202","NECTIN2","protein-coding"
"ENSG00000249859","PVT1","ncRNA"
"ENSG00000241945","PWP2","protein-coding"
"ENSG00000162735","PEX19","protein-coding"
